0	0
0	0
0	0
0	0
0	0
0	0.015
1.299999952	0.064000003
10.89999962	0.165999994
16	0.217999995
21.10000038	0.270999998
25.29999924	0.323000014
29.29999924	0.374000013
32.90000153	0.425999999
40.59999847	0.529999971
43.5	0.58099997
48.40000153	0.685000002
47.79999924	0.737999976
49.59999847	0.791999996
51.29999924	0.843999982
52.29999924	0.896000028
53.20000076	0.947000027
54.09999847	0.999000013
55	1.103000045
55.29999924	1.156000018
56	1.258999944
56.70000076	1.312000036
58.59999847	1.36500001
64.30000305	1.470000029
66.5	1.523000002
68.80000305	1.575999975
71.09999847	1.628999949
76.30000305	1.735000014
78.90000153	1.787999988
81.30000305	1.840000033
86.40000153	1.944000006
88.59999847	1.996999979
91.09999847	2.049999952
93.30000305	2.101999998
97.90000153	2.207000017
100.3000031	2.25999999
102.5999985	2.312999964
107.1999969	2.417000055
109.5	2.470000029
111.9000015	2.523000002
113.5999985	2.575999975
118.4000015	2.681999922
122.9000015	2.789999962
125.0999985	2.842000008
127.1999969	2.894999981
131.1999969	2.996999979
133.6999969	3.048000097
137.6000061	3.151000023
141.6999969	3.255000114
145.8999939	3.357000113
149.6999969	3.461999893
153.6999969	3.565999985
157.8000031	3.670000076
161.8999939	3.773999929
163.6000061	3.828000069
165.8999939	3.881000042
167.8000031	3.934000015
169.8999939	3.986999989
171.8999939	4.040999889
173.5	4.093999863
175.6000061	4.146999836
177.6999969	4.199999809
179.5	4.254000187
181.6000061	4.306000233
183.1000061	4.357999802
185	4.410999775
186.8000031	4.464000225
188.6999969	4.517000198
190.3999939	4.568999767
192.3000031	4.622000217
194.1000061	4.673999786
195.8000031	4.728000164
197.6999969	4.781000137
199.6000061	4.835999966
201.3999939	4.888999939
203.1999969	4.941999912
204.8000031	4.994999886
206.6999969	5.046999931
208.3000031	5.098999977
210	5.151000023
211.8000031	5.204999924
213.5	5.256999969
214.8999939	5.309999943
217.1000061	5.363999844
218.6000061	5.419000149
220.3000031	5.472000122
221.8999939	5.526000023
223.5	5.579999924
225.1999969	5.635000229
226.8000031	5.688000202
228.3999939	5.742000103
229.8000031	5.796000004
231.3999939	5.849999905
233.1000061	5.90199995
234.3999939	5.953999996
236.1000061	6.006999969
237.3000031	6.06099987
239.1000061	6.113999844
240.5	6.166999817
242.3000031	6.21999979
243.6000061	6.272999763
245.1000061	6.327000141
247.1999969	6.381000042
248	6.434999943
249.5	6.487999916
250.6999969	6.540999889
252.3999939	6.592999935
253.8000031	6.645999908
255.1000061	6.699999809
256.7000122	6.754000187
258.1000061	6.808000088
259.3999939	6.861999989
260.8999939	6.915999889
262.1000061	6.967999935
263.5	7.021999836
264.7999878	7.074999809
